,450
200,187,-172,431
202,156,-172,465
203,143,-173,472
205,193,-172,410
207,159,-180,450
209,160,-185,477
211,167,-196,435
214,168,-194,451
216,141,-198,480
218,158,-187,448
220,158,-190,452
222,163,-205,451
224,140,-214,453
226,181,-194,421
227,156,-196,464
229,169,-193,444
231,183,-192,439
233,171,-208,457
235,159,-208,456
237,179,-199,470
239,187,-207,473
241,185,-220,425
243,166,-221,455
245,175,-228,454
247,172,-211,438
249,184,-198,432
250,167,-202,460
252,163,-202,456
254,165,-196,434
257,159,-193,431
259,157,-194,446
261,158,-184,441
263,164,-184,441
265,162,-185,447
267,164,-184,429
269,173,-181,418
271,167,-200,455
272,158,-195,459
274,161,-191,447
276,163,-190,439
278,163,-190,447
280,166,-188,439
282,158,-184,441
284,164,-182,427
286,161,-183,433
288,164,-185,435
290,164,-180,433
292,162,-189,435
294,166,-182,434
295,158,-181,429
297,168,-180,426
300,162,-176,432
302,165,-184,427
304,152,-178,424
306,153,-180,445
308,156,-181,436
310,136,-174,469
312,138,-164,439
314,157,-167,446
316,140,-162,454
317,128,-159,448
319,136,-156,446
321,141,-158,433
323,129,-161,443
325,164,-153,409
327,133,-164,463
329,165,-157,414
331,136,-163,445
333,148,-168,446
335,153,-167,438
337,157,-173,448
339,121,-173,464
340,159,-166,421
343,135,-173,451
345,164,-167,424
347,169,-181,501
349,160,-169,441
351,126,-183,462
353,123,-177,475
355,171,-189,426
357,109,-207,464
359,182,-193,416
361,137,-237,506
362,135,-226,502
364,184,-216,437
366,141,-238,483
368,142,-219,480
370,148,-209,454
372,137,-206,500
374,180,-196,444
376,132,-204,511
378,164,-193,468
380,172,-226,490
382,166,-206,469
385,145,-211,479
386,188,-197,422
388,220,-136,327
390,176,-248,620
392,205,-204,457
394,186,-206,414
396,143,-207,477
398,167,-206,459
400,191,-236,422
402,148,-214,471
404,191,-199,412
406,198,-222,429
408,136,-259,535
409,202,-204,415
411,154,-247,492
413,149,-222,446
415,195,-209,427
417,191,-222,438
419,146,-202,463
421,142,-243,502
423,189,-202,418
425,135,-222,488
428,156,-232,495
430,182,-197,421
432,124,-222,480
433,126,-229,483
435,125,-206,491
437,148,-206,476
439,142,-205,466
441,151,-205,457
443,144,-184,453
445,130,-193,464
447,127,-175,428
449,180,-172,414
451,140,-189,447
453,160,-181,422
454,164,-167,408
456,156,-169,440
458,150,-168,442
460,165,-156,420
462,174,-160,405
464,164,-167,409
466,158,-166,420
468,148,-161,435
471,156,-163,430
473,161,-163,422
475,149,-159,448
477,174,-144,407
478,139,-178,434
480,129,-168,428
482,175,-163,395
484,151,-162,427
486,169,-148,382
488,162,-140,390
490,135,-130,402
492,162,-124,412
494,167,-112,397
496,150,-133,432
498,152,-152,401
499,145,-157,388
501,145,-166,408
503,164,-163,413
505,165,-161,430
507,140,-166,469
509,176,-164,417
512,143,-172,447
514,178,-175,429
516,166,-171,433
518,162,-167,425
520,154,-168,441
522,165,-167,408
523,136,-170,444
525,175,-165,401
527,136,-182,446
529,137,-181,463
531,165,-146,431
533,183,-63,388
535,95,-229,525
537,197,-156,454
539,187,-192,408
541,165,-203,463
542,171,-181,428
544,154,-208,461
546,146,-204,476
548,172,-201,424
550,145,-218,473
552,153,-199,459
555,154,-210,460
557,131,-206,459
Accel reponse timeout: 1
Accel initialized
583,137,-199,466
585,146,-197,453
587,141,-191,446
589,160,-186,439
591,140,-186,458
592,166,-170,413
594,157,-172,441
596,152,-175,436
599,159,-172,412
Accel reponse timeout: 3
613,154,-165,427
615,156,-169,426
617,153,-166,431
619,155,-169,434
620,155,-168,435
622,149,-175,439
624,152,-179,440
626,152,-181,443
628,150,-186,449
630,148,-185,450
632,154,-191,441
634,140,-196,463
636,150,-196,452
638,150,-199,457
641,139,-199,473
642,141,-202,471
644,144,-205,466
646,139,-215,480
648,148,-213,472
650,136,-218,480
652,142,-217,476
654,150,-219,469
656,143,-221,479
658,142,-221,474
660,148,-219,465
662,137,-217,476
664,149,-209,462
665,141,-204,463
667,142,-207,457
669,148,-200,454
671,136,-203,459
673,143,-200,463
675,152,-198,446
677,130,-201,481
679,153,-191,439
681,145,-191,451
684,149,-187,449
686,155,-179,439
688,153,-181,435
689,156,-180,431
691,138,-177,425
693,149,-175,434
695,157,-178,438
697,153,-172,436
699,138,-176,450
701,152,-175,427
703,150,-171,434
705,157,-171,438
707,151,-173,437
709,149,-172,436
710,145,-177,443
712,156,-175,430
714,142,-177,431
716,148,-177,438
718,148,-179,439
720,148,-180,442
722,150,-179,438
724,152,-182,445
727,149,-179,444
729,160,-187,443
731,140,-185,454
733,150,-179,439
734,153,-183,449
736,149,-184,444
738,153,-185,447
740,151,-186,439
742,148,-185,445
744,150,-179,438
746,151,-180,445
748,152,-185,446
750,147,-184,446
752,143,-186,448
754,150,-187,443
755,149,-187,448
757,146,-189,455
759,148,-189,452
761,152,-159,464
763,192,-116,467
765,110,-233,501
768,161,-199,464
770,179,-193,424
772,120,-198,447
774,142,-191,458
776,172,-196,408
778,112,-204,495
779,154,-193,424
781,125,-209,462
783,129,-201,487
785,151,-199,458
787,129,-204,483
Accel reponse timeout: 4
800,154,-190,437
802,150,-194,436
804,146,-199,452
806,141,-189,427
807,139,-186,447
809,147,-184,448
812,162,-182,436
814,122,-188,488
816,153,-193,436
818,149,-195,456
820,148,-194,469
822,160,-193,435
824,133,-188,464
826,158,-186,447
828,143,-187,450
829,144,-185,453
831,146,-188,445
833,143,-188,449
835,146,-191,447
837,152,-188,439
839,150,-192,448
841,140,-192,455
843,147,-190,451
845,146,-189,450
847,149,-188,444
849,151,-191,448
851,145,-191,447
852,148,-186,444
855,149,-185,445
857,148,-187,446
859,150,-185,444
861,152,-184,440
863,149,-189,443
865,152,-184,436
867,148,-185,439
869,149,-185,441
871,151,-186,440
Accel reponse timeout: 5
884,151,-190,439
886,147,-190,440
888,148,-190,444
890,146,-194,450
891,149,-194,448
893,151,-196,447
896,140,-196,456
898,146,-194,447
900,150,-194,447
902,139,-196,454
904,143,-190,449
906,144,-191,453
908,147,-190,444
910,137,-194,446
912,146,-191,443
913,143,-195,444
915,145,-189,448
917,148,-190,441
919,144,-192,448
921,148,-190,446
923,145,-191,451
925,147,-190,449
927,146,-190,448
929,145,-191,446
931,146,-192,443
933,145,-188,444
935,146,-188,443
936,142,-188,445
939,145,-189,439
